episode_id,evaluation_status,original_outcome,result,comparison,wins,losses,draws,win_rate,replacement_kind,replacement_seat,replacement_team,opponent_team,original_first_player,first_player_forced,scripted_fraction,opponent_fidelity,primary_attacked_turns,primary_attack_turns,primary_abandoned_attack_turns,loss_triage_signal,path,avg_first_attack_turn,baseline_result,baseline_win_rate,candidate_deck_sha256,decisive_win_rate,first_player_preserved_trials,forced_first_player_decisions,kaggle_seed_metadata,local_engine_seed_applied,observed_first_players,opponent_deck_sha256,opponent_exceptions,opponent_fallback_decisions,opponent_high_confidence_scripted,opponent_script_decisions,opponent_scripted_decisions,primary_attack_menus,primary_attacks,protocol_id,regression_vs_baseline,replay_module_version,replay_schema_version,replay_sha256,replay_statuses,replay_steps,result_reasons,timeouts,trials,win_rate_ci95_high,win_rate_ci95_low,win_rate_delta_vs_baseline
88527351,ok,loss,win,improved,10,0,0,1.0,our_agent,1,ROASTERS,t.eno,0,1,0.828125,semantic_script_plus_generic_fallback,25,25,0,,scouting_replays/our_agent_v8/losses/88527351.json,3.0,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,44111119,0,"{""0"": 10}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,22,3,96,106,52,25,counterfactual-replay-v2,,1.32.2,1,4f740f7f219aca1c8d2cd1b1aa68e7edde8a11599d17091367e43aa3bfb410b5,"[""DONE"", ""DONE""]",130,"{""no_active_pokemon"": 10}",0,10,1.0,0.722467,
88527969,ok,win,win,preserved_win,10,0,0,1.0,our_agent,0,ROASTERS,Masa,0,1,0.622407,semantic_script_plus_generic_fallback,36,36,0,,scouting_replays/our_agent_v8/wins/88527969.json,3.2,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,797338819,0,"{""0"": 10}",fed6cd8c56270382d100d737e16fa67bcf947b16978d3e639a77d549fd4df688,0,91,11,81,150,89,36,counterfactual-replay-v2,,1.32.2,1,0803dbc884877c7187497a4300c74538a6afe6d67ab81671c01ee52ae0e3e747,"[""DONE"", ""DONE""]",136,"{""no_active_pokemon"": 9, ""prizes"": 1}",0,10,1.0,0.722467,
88528562,ok,loss,win,improved,9,1,0,0.9,our_agent,0,ROASTERS,Pietro,0,1,0.788732,semantic_script_plus_generic_fallback,40,40,0,,scouting_replays/our_agent_v8/losses/88528562.json,4.4,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,0.9,10,10,671829503,0,"{""0"": 10}",5f9f13aa00c77a62f88bf6026720ed6acded93fabf8c6a41dc0a39e8c41dab02,0,45,23,56,168,98,40,counterfactual-replay-v2,,1.32.2,1,2dfe6deaea168b3e712e18d28b1efce17dcea50cf786745a9258a05e09b0b77e,"[""DONE"", ""DONE""]",108,"{""no_active_pokemon"": 8, ""prizes"": 2}",0,10,0.982124,0.59585,
88688530,ok,win,win,preserved_win,10,0,0,1.0,our_agent,1,ROASTERS,Linda Brown,0,1,0.832192,semantic_script_plus_generic_fallback,57,57,0,,scouting_replays/our_agent_v8/wins/88688530.json,3.4,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,1490014297,0,"{""0"": 10}",76812200d26122ba4619f859b0f24ba9eaa44fcd1a7cc6ec49a295c51da093c7,0,49,19,86,243,128,57,counterfactual-replay-v2,,1.32.2,1,71b5a5723e2637a5f28eb6da0b7cb85c69346da11ae1b2c92d56fa4b4ace60ec,"[""DONE"", ""DONE""]",135,"{""no_active_pokemon"": 6, ""prizes"": 4}",0,10,1.0,0.722467,
88702243,ok,loss,win,improved,10,0,0,1.0,our_agent,1,ROASTERS,H.Ito,0,1,0.455738,semantic_script_plus_generic_fallback,48,48,0,,scouting_replays/our_agent_v8/losses/88702243.json,2.6,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,2122658015,0,"{""0"": 10}",834cfd5e98238af8251c190f2c7249187b462033c8e43018bc9941fdbfde330f,0,166,7,45,139,121,48,counterfactual-replay-v2,,1.32.2,1,38fb3fff31f506b8c7061f9349d90fb230097f2417c9c3f4fdf3013f2a4f2b26,"[""DONE"", ""DONE""]",81,"{""no_active_pokemon"": 9, ""prizes"": 1}",0,10,1.0,0.722467,
88702773,ok,win,win,preserved_win,10,0,0,1.0,our_agent,0,ROASTERS,kkkk,0,1,0.744681,semantic_script_plus_generic_fallback,34,34,0,,scouting_replays/our_agent_v8/wins/88702773.json,3.6,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,1934614308,0,"{""0"": 10}",87bed7987bdc4c0666f0735af0d66ce8d3a1e46155532e1aa68aea1abb85052b,0,60,10,100,175,69,34,counterfactual-replay-v2,,1.32.2,1,2b7d5f4817bdca6fde2ab3875f6bf9973fc9b9f71dd11d181e28153db351f95a,"[""DONE"", ""DONE""]",171,"{""no_active_pokemon"": 10}",0,10,1.0,0.722467,
88710371,ok,win,win,preserved_win,10,0,0,1.0,our_agent,1,ROASTERS,NayuNayu,0,1,0.621723,semantic_script_plus_generic_fallback,44,44,0,,scouting_replays/our_agent_v8/wins/88710371.json,2.6,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,117707838,0,"{""0"": 10}",ca5599de2fa40f7b61e73ced5c5ace2c7d04377ca437ba4cc3a2cc46b1e9b95f,0,101,10,148,166,101,44,counterfactual-replay-v2,,1.32.2,1,1bbc249722b23832a43c4560bd714d9bffb38f3629b5fddd7ae24e4eb14edb51,"[""DONE"", ""DONE""]",204,"{""no_active_pokemon"": 8, ""prizes"": 2}",0,10,1.0,0.722467,
88724413,ok,win,win,preserved_win,10,0,0,1.0,our_agent,1,ROASTERS,Lixin Yin,0,1,0.814516,semantic_script_plus_generic_fallback,54,54,0,,scouting_replays/our_agent_v8/wins/88724413.json,2.2,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,1810228550,0,"{""0"": 10}",76812200d26122ba4619f859b0f24ba9eaa44fcd1a7cc6ec49a295c51da093c7,0,46,16,82,202,128,54,counterfactual-replay-v2,,1.32.2,1,bf6567e5170bcc834ce709319d724f8747010369c09df8fe811cd84223671af2,"[""DONE"", ""DONE""]",131,"{""no_active_pokemon"": 9, ""prizes"": 1}",0,10,1.0,0.722467,
88727264,ok,loss,win,improved,10,0,0,1.0,our_agent,1,ROASTERS,fle3n + codex AGI X26,0,1,0.605096,semantic_script_plus_generic_fallback,44,44,0,,scouting_replays/our_agent_v8/losses/88727264.json,4.6,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,231123142,0,"{""0"": 10}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,124,10,124,190,86,44,counterfactual-replay-v2,,1.32.2,1,934a9867fda61b78a0f4a20720867616ed80d19ac8d3c948158d5eb726cda339,"[""DONE"", ""DONE""]",163,"{""no_active_pokemon"": 7, ""prizes"": 3}",0,10,1.0,0.722467,
88734629,ok,win,win,preserved_win,10,0,0,1.0,our_agent,1,ROASTERS,ezreal77,0,1,0.855263,semantic_script_plus_generic_fallback,27,27,0,,scouting_replays/our_agent_v8/wins/88734629.json,2.4,,,4d9ca6731b5adabd46d4ad9f6123fd511e4c1da4c98081a9af7058c222e47448,1.0,10,10,1408928327,0,"{""0"": 10}",c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,0,22,12,103,130,60,27,counterfactual-replay-v2,,1.32.2,1,482f2b19d881fb3d180e5561a49abead9e8d4659db06df73209d984f8b19559a,"[""DONE"", ""DONE""]",155,"{""no_active_pokemon"": 10}",0,10,1.0,0.722467,
